File Name,First Attack Transcription,Final Attack Transcription,First Attack Epoch,Final Attack Epoch
978.wav,DON,DON,57,57
413.wav,DON,DON,43,43
433.wav,DON,DON,42,42
913.wav,DOWNA,DAMON,12,67
1458.wav,DOWN AN,DOWN AN,47,47
1417.wav,DON,DON,65,65
933.wav,DON,DON,53,53
1468.wav,DON,DON,22,22
473.wav,DUNE,DUNE,34,34
538.wav,TOWN,TOWN,19,19
493.wav,DOUN,DON,26,27
1472.wav,DALE,DALE,40,40
979.wav,DON,DON,37,37
1454.wav,DON,DON,40,40
1413.wav,DOWN AN,DOWN AN,42,42
1482.wav,DOWNWORD,DONA,80,81
417.wav,FOWN,MARY,14,67
208.wav,TOWN,TOWN,31,31
437.wav,ON,ON,30,30
914.wav,DON,DON,48,48
917.wav,FOWNE,FAN,41,52
457.wav,DOWNN,DOU,41,65
937.wav,DUN,DUN,63,63
892.wav,TOWN,TOWN,27,27
898.wav,HARID,DON,55,66
477.wav,DON,DON,53,53
1393.wav,DOWN IT,DOWN IT,44,44
977.wav,DOWMIN,TAN,45,84
918.wav,DOUN,DOM,15,43
399.wav,DON,DON,30,30
1457.wav,DOWN AND,DOWN AND,54,54
1467.wav,DON,DON,75,75
1029.wav,TOWN,TOWN,38,38
39.wav,TOWN,TOWN,24,24
1402.wav,FOWN,FAN,56,57
422.wav,AN,AN,63,63
1033.wav,DOWNI,DOWN IT,7,35
1453.wav,DOUN,DON,66,74
419.wav,DON,DON,55,55
1412.wav,DON,DON,60,60
442.wav,DON,DON,46,46
922.wav,DOUN,TAM,45,49
439.wav,DON,DON,34,34
394.wav,DOWNIN,DON,2,29
397.wav,FAWLEY,FAMILY,80,81
1378.wav,DOWN AN,DOWN AN,90,90
1427.wav,DOUN,DON,43,44
482.wav,DON,DON,30,30
1409.wav,DON,DON,64,64
968.wav,TOU WIT,BOUND,52,62
1437.wav,DUN,DUN,48,48
982.wav,DAN,DAN,77,77
1419.wav,EM,EM,65,65
1392.wav,DON,DON,40,40
423.wav,DOWNA,DOWN ER,47,51
903.wav,DAN,DAN,3,3
1423.wav,DON,DON,43,43
923.wav,DON,DON,37,37
1384.wav,N,DOWN AN,41,53
929.wav,DON,DON,44,44
398.wav,TOWN,TOWN,58,58
884.wav,TOWN,TOWN,53,53
483.wav,DONE,DONE,35,35
963.wav,DOWNN,DOWNWARD,32,47
1399.wav,DON,DON,41,41
404.wav,HARN,AR,46,48
407.wav,DAN,DAN,65,65
907.wav,DOWN AND,DOWN AND,33,33
444.wav,DUN,DUN,4,4
447.wav,DON,DON,47,47
924.wav,DON,DON,39,39
927.wav,DOUN,DONE,50,60
1462.wav,DONE,DONE,52,52
1444.wav,DON,DON,41,41
484.wav,DON,DON,57,57
487.wav,DON,DON,64,64
967.wav,DONE,DONE,54,54
1408.wav,GOUN,GOWN,5,15
402.wav,DOWN AND,DOWN AND,67,67
1477.wav,DON,DON,45,45
408.wav,TERN,TERN,53,53
1418.wav,DOUN,DON,1,35
428.wav,DOWN M,DOWN EM,6,8
908.wav,DOUN,HOUND,53,62
928.wav,DON,DON,31,31
1422.wav,TOU,ELLA,39,42
1383.wav,ON,ON,64,64
1414.wav,DON,DON,52,52
1398.wav,DOUN,DON,29,34
1447.wav,DOWNA,DOWN AN,33,39
912.wav,DAM,DAM,52,52
429.wav,DON,DON,14,14
909.wav,DON,DON,27,27
1439.wav,DON,DON,32,32
893.wav,TARN,TARN,34,34
469.wav,DON,DON,47,47
1394.wav,DON,DON,38,38
534.wav,DOWN T,DOWN IT,1,3
972.wav,DOM,DOM,77,77
1443.wav,DOWNN,DAM,40,71

Average Stats
First Success Rate (%),100.00
Final Success Rate (%),100.00
Average First Attack Time (s),136.75
Average Final Attack Time (s) for successful attacks,151.57
Average First SNR (dB),-10.24
Average Final SNR (dB) for successful attacks,-10.92
Average First Attack Epoch,42.36
Average Final Attack Epoch for successful attacks,46.84
