File Name,First Attack Transcription,Final Attack Transcription,First Attack Epoch,Final Attack Epoch
139.wav,REFT,REFT,68,68
204.wav,RAFT,RAFT,60,60
13.wav,LAVEIT,AFT,51,61
182.wav,LASET,GLANCED,45,46
388.wav,REFT,REFT,50,50
264.wav,LIFT,LIFT,44,44
88.wav,LAUGHED,LAUGHED,40,40
329.wav,LAFHT,LAUGHED,51,52
84.wav,LEST,LEST,8,8
287.wav,LEEFT,LAUGHED,34,43
67.wav,NEFT,NEXT,51,64
143.wav,REFT,REFT,36,36
63.wav,LEST,LEST,0,0
208.wav,NAFT,LAUGHED,44,48
163.wav,LIFT,LIFT,48,48
369.wav,LEVD,LIVED,1,2
392.wav,NEFT,RAFT,81,123
49.wav,REFT,REFT,81,81
389.wav,LIFT,LIFT,37,37
268.wav,I LEFT,LIVED,44,47
127.wav,LAUGHED,LAUGHED,31,31
144.wav,REFT,REFT,54,54
3.wav,RAFT,RAFT,64,64
147.wav,D LEFT,LAUGHED,41,48
373.wav,LEVD,LIVED,67,68
209.wav,NEFT,EFT,37,66
164.wav,LAUFHT,LIFT,50,65
78.wav,LEFTIM,LEFT HIM,27,39
74.wav,LEST,LEST,2,2
393.wav,LIFT,LIFT,40,40
57.wav,D LEFT,LAUGHED,48,61
184.wav,NEFT,NET,50,56
187.wav,LAFD,LAUGHED,14,21
53.wav,LAFT,LAUGHED,40,42
102.wav,LAST,LAST,37,37
32.wav,LAFT,LAUGHED,3,18
108.wav,LAUGHED,LAUGHED,68,68
269.wav,LIFT,LIFT,9,9
39.wav,ANDAFED,LEFT HIM,62,63
142.wav,LAFED,LAUGHED,36,38
14.wav,NEFT,EPH,40,46
213.wav,LAFT,LAUGHED,50,72
168.wav,AST,NEST,65,70
394.wav,LIFT,LIFT,50,50
397.wav,LAUGHD,LAUGHED,89,90
89.wav,REFT,REFT,72,72
103.wav,HELEFT,LAUGHED,73,92
273.wav,I LEFT,AFT,57,60
64.wav,TEFT,DEFT,57,82
9.wav,NEST,NEST,41,41
129.wav,LAUGHED,LAUGHED,44,44
43.wav,RAFT,RAFT,71,71
22.wav,LAFD,LAUGHED,46,47
214.wav,LAFT,LAUGHED,78,82
217.wav,LAUGHED,LAUGHED,69,69
172.wav,REFT,REFT,40,40
97.wav,LAUGHED,LAUGHED,53,53
257.wav,NEFT,EFT,23,47
93.wav,LAUGHED,LAUGHED,43,43
113.wav,LAUGHED,LAUGHED,70,70
107.wav,LAFD,LAUGHED,50,51
319.wav,LAFT,LAUGHED,19,20
274.wav,LEVT,LIFT,13,36
133.wav,LAFT,LAUGHED,49,61
153.wav,LAUGHED,LAUGHED,30,30
359.wav,REFT,REFT,30,30
58.wav,LEFD,LAUGHED,33,36
212.wav,LAUGHED,LAUGHED,67,67
54.wav,LAUGHED,LAUGHED,71,71
218.wav,LAUGHED,LAUGHED,41,41
173.wav,NEFT,NET,78,79
33.wav,LAUGHED,LAUGHED,85,85
193.wav,LEFTER,LEFTER,48,48
2.wav,LAFD,LAUGHED,25,29
278.wav,LAFT,LAST,70,75
137.wav,LAUGHED,LAUGHED,32,32
83.wav,LAUGHED,LAUGHED,61,61
177.wav,LAFT,LAUGHED,31,33
4.wav,NAFT,NEST,23,44
69.wav,LAUGHED,LAUGHED,47,47
197.wav,LAFT,LAUGHED,35,41
44.wav,LAUGHED,LAUGHED,69,69
324.wav,LAUFD,LAUGHED,40,41
23.wav,LAFT,LAUGHED,51,52
279.wav,LAUGHED,LAUGHED,60,60
47.wav,LAFD,LAUGHED,44,46
203.wav,NEFT,NEST,31,32
158.wav,LAUFT,LAUGHED,1,5
98.wav,LAFT,LAUGHED,67,73
387.wav,LIVED,LIVED,26,26
178.wav,LAFT,LAUGHED,64,70
94.wav,LEST,LEST,23,23
243.wav,LIFT,LIFT,46,46
77.wav,LAFD,LAUGHED,43,46
73.wav,LAFT,LAUGHED,37,38
198.wav,LAFT,LAUGHED,35,36
308.wav,LEFD,LAVED,1,32
8.wav,LAFT,LAUGHED,75,87
52.wav,D LEFED,LAUGHED,61,74
59.wav,NEFT,NET,53,68

Average Stats
First Success Rate (%),100.00
Final Success Rate (%),100.00
Average First Attack Time (s),147.21
Average Final Attack Time (s) for successful attacks,168.85
Average First SNR (dB),-9.08
Average Final SNR (dB) for successful attacks,-10.49
Average First Attack Epoch,45.50
Average Final Attack Epoch for successful attacks,50.30
