File Name,First Attack Transcription,Final Attack Transcription,First Attack Epoch,Final Attack Epoch
139.wav,RUNT,RUNT,96,96
642.wav,RIGT,LIGHT,45,53
159.wav,LIGHT,LIGHT,47,47
433.wav,RIT,RAT,49,53
224.wav,RIGT,WHITE,22,50
388.wav,MIGHT,MIGHT,52,52
244.wav,RIHTE,RITE,52,53
247.wav,LIGHT,LIGHT,34,34
724.wav,LIGHT,LIGHT,44,44
473.wav,MIGHT,MIGHT,42,42
264.wav,RIGHTE,OR LIGHT,29,55
767.wav,LIGHT,LIGHT,34,34
623.wav,LIGHT,LIGHT,51,51
163.wav,ORRIGHT,OR RIGHT,70,71
643.wav,RIGT,OR RIGHT,28,31
222.wav,LIGHT,LIGHT,3,3
434.wav,WHAT,WHAT,64,64
437.wav,RIGT,RIGHT MY,37,59
228.wav,LIGHT,LIGHT,30,30
248.wav,RIGT,RITE,16,41
104.wav,RIGT,RITE,12,47
542.wav,RIGT,RITE,49,53
539.wav,RIGT,RITE,32,46
127.wav,RIGT,RITE,33,49
559.wav,ALL RIGHT,ALL RIGHT,64,64
3.wav,RIIT,RIOT,47,116
147.wav,RIGT,ROUT,58,96
624.wav,RIGT,GRUNT,55,56
164.wav,LIGHT,LIGHT,57,57
393.wav,WIGTE,WHITE,34,35
229.wav,RIGT,RITE,32,47
184.wav,LIGHT,LIGHT,63,63
461.wav,MIGHT,MIGHT,34,34
252.wav,LIGHT,LIGHT,26,26
272.wav,LIGHT,LIGHT,14,14
478.wav,WHIGT,WHITE,52,54
334.wav,RIGT,RITE,1,3
498.wav,OR IIT,OR RIGHT,58,64
148.wav,RIGHTE,RIGHT TO,1,47
442.wav,RIGT,RITE,44,46
739.wav,LIGHT,LIGHT,72,72
273.wav,OR WRITE,OR WRITE,32,32
544.wav,RITIN,NIGHT,59,72
612.wav,RIGT,RITE,0,58
152.wav,WRITING,WRITING,89,89
567.wav,RIOT,RIOT,68,68
629.wav,LIGHT,LIGHT,58,58
443.wav,WHIGHT,WHITE,50,51
234.wav,RON IT,RON IT,50,50
649.wav,RIGT,RANT,41,69
237.wav,ROIGHT,ELATE,29,39
463.wav,ROIGHT,RELIGHT,7,27
254.wav,RIGTE,RITE,2,20
486.wav,RIGT,ALL RIGHT,19,55
489.wav,BRIGHT,BRIGHT,0,0
72.wav,RIGT,RIOT,50,68
404.wav,NIGHT,NIGHT,43,43
153.wav,RIGT,RITE,73,75
424.wav,WIGHT,WIGHT,49,49
54.wav,RIT,RIVE,96,97
173.wav,RITE,RITE,56,56
653.wav,LIGHT,LIGHT,71,71
447.wav,RIGT,RITE,44,47
718.wav,RIGT,RITE,34,36
464.wav,WIHTE,WITE,33,34
467.wav,WRIGHT,WRIGHT,15,15
258.wav,ROIT,RITE,34,63
484.wav,RET,THAT,43,45
552.wav,RIT,ALL RIGHT,21,62
764.wav,RIGT,WRITING,43,45
758.wav,RIGT,OR NIGHT,38,42
823.wav,RIGT,WRIGHT,22,39
137.wav,RIGT,RIOT,89,91
614.wav,E NIGHT,ANT,94,97
634.wav,WIGHT ER,WIGHT ER,65,65
702.wav,RIOT,RIOT,51,51
219.wav,WIGT,RITE,50,53
242.wav,RIGT,LIGHT,44,49
657.wav,LIGHT,LIGHT,50,50
448.wav,RIGT,WHAT,31,32
239.wav,ROIGHT,RITE,49,69
262.wav,RIT,MIT,47,60
118.wav,RITE,RITE,2,2
488.wav,RITE,RITE,1,1
553.wav,RITE,RITE,53,53
132.wav,RIGT,OR RITE,3,85
618.wav,RIGHTE,RITE,83,84
409.wav,RIGHT M,RIGHT MAN,51,53
158.wav,MIGHT,MIGHT,33,33
223.wav,LIGHT,LIGHT,40,40
384.wav,RIGTE,RIOT,1,20
658.wav,LIGHT,LIGHT,69,69
449.wav,RIGT,WHITE,35,41
723.wav,LIGHT,LIGHT,38,38
263.wav,RIGT,RITE,34,35
469.wav,WIGHT,WIGHT,1,1
743.wav,LIGHT,LIGHT,23,23
534.wav,RIGT,RITE,40,104
52.wav,RIGHTE,RITE,12,38
749.wav,RIGT,RITE,0,47

Average Stats
First Success Rate (%),100.00
Final Success Rate (%),100.00
Average First Attack Time (s),128.53
Average Final Attack Time (s) for successful attacks,164.41
Average First SNR (dB),-9.61
Average Final SNR (dB) for successful attacks,-11.59
Average First Attack Epoch,40.41
Average Final Attack Epoch for successful attacks,50.11
