File Name,First Attack Transcription,Final Attack Transcription,First Attack Epoch,Final Attack Epoch
204.wav,STAP,SAT,56,61
179.wav,STOT,START,57,59
453.wav,STAP,STEP,85,86
247.wav,SOP,SOP,31,31
473.wav,STOT,STOMP,41,48
309.wav,STAR UP,STAR UP,100,100
538.wav,TOP,TOP,3,3
493.wav,STOMP,STOMP,0,0
329.wav,STARP,SHARP,60,63
84.wav,STOB,STOB,37,37
287.wav,TOP,TOP,0,0
349.wav,STOB,STOB,53,53
63.wav,STOB,STOB,24,24
372.wav,TOP,TOP,8,8
208.wav,SOP,SOP,6,6
42.wav,STRAP,STRAP,60,60
369.wav,STOB,STOB,51,51
228.wav,SLAMP,STOMP,48,49
49.wav,SAD,SAD,69,69
454.wav,STOCK,STOCK,49,49
457.wav,STAP,STEP,81,82
522.wav,TOP,TOP,0,0
104.wav,STOT,SOB,42,62
477.wav,STAP,STA,83,84
268.wav,STOPPING,STOPPING,92,92
539.wav,STOB,STOB,51,51
99.wav,SOGT,TAT,27,55
373.wav,SAB,SAB,74,74
78.wav,STOGT,SORT,26,27
252.wav,SOB,SOB,0,0
458.wav,STUFF,STUFF,76,76
249.wav,SOP,SOP,34,34
523.wav,STOT,STIPE,73,81
102.wav,STOB,STOB,25,25
314.wav,STOT,START,40,41
317.wav,STUP,STRAP,68,74
272.wav,SOP,SOP,83,83
478.wav,STARP,STAFF,97,98
269.wav,STROP,STROP,51,51
354.wav,START,START,65,65
213.wav,SOLP,SALT,53,55
377.wav,STAP,SAP,48,83
442.wav,STILL,STILL,54,54
504.wav,SOP,SOP,18,18
462.wav,STAP,STAN,58,87
312.wav,STOT,TURN UP,68,75
103.wav,STOB,STOB,57,57
482.wav,STYP,TIP,66,72
318.wav,TOP,TOP,23,23
273.wav,STAP,SLAP,54,55
479.wav,STOPPED,STOPPED,56,56
43.wav,SOP,SOP,14,14
358.wav,STOGT,TOT,46,47
214.wav,STOB,STOB,2,2
29.wav,TYPE,TYPE,38,38
237.wav,SOP,SOP,17,17
463.wav,STOPPED,STOPPED,54,54
28.wav,SLAP,SLAP,43,43
257.wav,STAB,STAB,56,56
322.wav,STOB,STOB,0,0
274.wav,SOB,SOB,41,41
342.wav,SAWIT,SAW IT,48,49
294.wav,STAP,CHILD,71,72
362.wav,STOMP,STOMP,49,49
359.wav,SATH,SAT,51,52
54.wav,STOB,STOB,32,32
382.wav,STOMP,STOMP,43,43
218.wav,STOT,SOT,43,44
379.wav,SO,SO,77,77
33.wav,STOLIP,TOP,35,45
447.wav,STOPE,STOPE,58,58
238.wav,STAP,SLAP,56,57
464.wav,STAP,STEP,55,62
467.wav,STOT,START,101,110
258.wav,STROP,STROP,47,47
532.wav,STOB,STOB,20,20
323.wav,TOP,TOP,58,58
487.wav,STUMP,STUMP,44,44
87.wav,SOP,SOP,21,21
298.wav,STAP,STYLED,47,49
363.wav,STOB,STOB,65,65
174.wav,STOB,STOB,4,4
69.wav,STOT,START,40,46
448.wav,STO,STA,46,94
307.wav,TOP,TOP,67,67
262.wav,STOT,SLAP,30,31
48.wav,STAB,STAB,36,36
259.wav,SOP,SOP,28,28
324.wav,TOP,TOP,78,78
282.wav,STARP,STAR UP,41,44
488.wav,STOT,STOP THEM,54,57
203.wav,TOP,TOP,16,16
364.wav,STONT,START,27,41
94.wav,STOT,SOUGHT,40,42
452.wav,STOMP,STOMP,51,51
302.wav,STOT UP,TUN UP,38,49
469.wav,STU,STU,74,74
492.wav,STOP E,STOP TE,70,72
328.wav,TOP,TOP,45,45
283.wav,STAP,TOP,29,31

Average Stats
First Success Rate (%),100.00
Final Success Rate (%),100.00
Average First Attack Time (s),143.73
Average Final Attack Time (s) for successful attacks,153.41
Average First SNR (dB),-8.80
Average Final SNR (dB) for successful attacks,-9.26
Average First Attack Epoch,46.27
Average Final Attack Epoch for successful attacks,49.19
